Ticker,Name,Sector,Industry,Country
3RB.DE,Reckitt Benckiser,Consumer Defensive,Household & Personal Products,United Kingdom
0P00016C12.L,Kingfisher,N/A,N/A,N/A
REN.AS,Relx,Industrials,Specialty Business Services,United Kingdom
CNA.L,Centrica,Utilities,Utilities - Independent Power Producers,United Kingdom
III.L,3I Group,Financial Services,Asset Management,United Kingdom
WPP,WPP,Communication Services,Advertising Agencies,United Kingdom
VCT.L,Victrex,Basic Materials,Specialty Chemicals,United Kingdom
TSCO.L,Tesco,Consumer Defensive,Grocery Stores,United Kingdom
ABDN.L,Aberdeen,Financial Services,Asset Management,United Kingdom
DGE.L,Diageo,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom
HIK.L,Hikma Pharma,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom
WGL.XC,John Wood,Energy,Oil & Gas Integrated,United Kingdom
0P00000VYS.L,Investec,N/A,N/A,N/A
RIO.L,Rio Tinto PLC,Basic Materials,Other Industrial Metals & Mining,United Kingdom
JMAT.L,Johnson Matthey,Basic Materials,Specialty Chemicals,United Kingdom
AAL.L,Anglo American,Basic Materials,Other Industrial Metals & Mining,United Kingdom
NLY,Capita,Real Estate,REIT - Mortgage,United States
BZLFY,Bunzl,Consumer Defensive,Food Distribution,United Kingdom
BRBY.L,Burberry Group,Consumer Cyclical,Luxury Goods,United Kingdom
GSK.L,GSK plc,Healthcare,Drug Manufacturers - General,United Kingdom
BTRW.L,Barratt Redrow,Consumer Cyclical,Residential Construction,United Kingdom
AV.L,Aviva,Financial Services,Insurance - Diversified,United Kingdom
BHP.DU,BHP Group Ltd,N/A,N/A,N/A
SGE.L,Sage,Technology,Software - Application,United Kingdom
PSON.L,Pearson,Communication Services,Publishing,United Kingdom
HMSO.L,Hammerson,Real Estate,REIT - Retail,United Kingdom
ABF.L,Associated British Foods,Consumer Defensive,Packaged Foods,United Kingdom
TLW.L,Tullow Oil,Energy,Oil & Gas E&P,United Kingdom
LSEG.L,London Stock Exchange,Financial Services,Financial Data & Stock Exchanges,United Kingdom
BA.L,BAE Systems,Industrials,Aerospace & Defense,United Kingdom
ANTO.L,Antofagasta,Basic Materials,Copper,United Kingdom
GMG.V,Man Group,Basic Materials,Specialty Chemicals,Australia
RR.L,Rolls-Royce Holdings,Industrials,Aerospace & Defense,United Kingdom
WTBDY,Whitbread,Consumer Cyclical,Lodging,United Kingdom
PNN.L,Pennon,Utilities,Utilities - Regulated Water,United Kingdom
